drug_a,drug_b,text,label,text_length,freq_drug_a,freq_drug_b
dezocine,conivaptan,The risk or severity of adverse effects can be increased when Dezocine is combined with Conivaptan.,1,99,224,124
amiloride,papaverine,The risk or severity of adverse effects can be increased when Amiloride is combined with Papaverine.,1,100,180,173
lincomycin,naratriptan,no interaction known or reported,0,32,26,69
darunavir,sulfadoxine,no interaction known or reported,0,32,111,45
thiamylal,furosemide,Thiamylal may increase the hypotensive activities of Furosemide.,1,64,391,338
hydroxyzine,ethylmorphine,no interaction known or reported,0,32,53,218
treprostinil,normethadone,no interaction known or reported,0,32,231,268
diphenhydramine,ethotoin,The risk or severity of adverse effects can be increased when Diphenhydramine is combined with Ethotoin.,1,104,269,238
aminophylline,olodaterol,The risk or severity of adverse effects can be increased when Aminophylline is combined with Olodaterol.,1,104,172,174
irbesartan,rivastigmine,no interaction known or reported,0,32,178,144
prazepam,ethotoin,The risk or severity of adverse effects can be increased when Prazepam is combined with Ethotoin.,1,97,204,238
pseudoephedrine,acebutolol,Pseudoephedrine may increase the atrioventricular blocking (AV block) activities of Acebutolol.,1,95,265,283
ergotamine,imipramine,Ergotamine may decrease the antihypertensive activities of Imipramine.,1,70,397,420
rifampicin,erlotinib,The serum concentration of Erlotinib can be decreased when it is combined with Rifampicin.,1,90,770,96
zopiclone,fluticasone propionate,The risk or severity of adverse effects can be increased when Zopiclone is combined with Fluticasone propionate.,1,112,320,347
mesoridazine,diphenhydramine,The metabolism of Diphenhydramine can be decreased when combined with Mesoridazine.,1,83,305,304
tranylcypromine,methylphenobarbital,The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Methylphenobarbital.,1,115,346,153
nadolol,alclofenac,Nadolol may decrease the antihypertensive activities of Alclofenac.,1,67,192,211
calcium citrate,lacidipine,The therapeutic efficacy of Lacidipine can be decreased when used in combination with Calcium citrate.,1,102,104,245
ifosfamide,sulfathiazole,no interaction known or reported,0,32,108,40
benzocaine,cyproheptadine,The risk or severity of adverse effects can be increased when Benzocaine is combined with Cyproheptadine.,1,105,180,225
epinephrine,chlorpropamide,The therapeutic efficacy of Chlorpropamide can be decreased when used in combination with Epinephrine.,1,102,170,151
lycopene,acetyldigitoxin,Lycopene may decrease the cardiotoxic activities of Acetyldigitoxin.,1,68,35,326
troleandomycin,artesunate,The serum concentration of the active metabolites of Artesunate can be reduced when Artesunate is used in combination with Troleandomycin resulting in a loss in efficacy.,1,170,98,85
elvitegravir,desogestrel,no interaction known or reported,0,32,99,89
thioridazine,paroxetine,The serum concentration of Paroxetine can be increased when it is combined with Thioridazine.,1,93,558,517
amisulpride,dimenhydrinate,The risk or severity of adverse effects can be increased when Amisulpride is combined with Dimenhydrinate.,1,106,176,255
orphenadrine,propiverine,The risk or severity of adverse effects can be increased when Orphenadrine is combined with Propiverine.,1,104,371,97
gemifloxacin,azithromycin,Gemifloxacin may increase the QTc-prolonging activities of Azithromycin.,1,72,171,270
ximelagatran,ticagrelor,The metabolism of Ticagrelor can be decreased when combined with Ximelagatran.,1,78,217,273
risperidone,panobinostat,The serum concentration of Panobinostat can be increased when it is combined with Risperidone.,1,94,326,275
amitriptyline,verapamil,The metabolism of Verapamil can be decreased when combined with Amitriptyline.,1,78,334,604
phenytoin,ombitasvir,The metabolism of Ombitasvir can be increased when combined with Phenytoin.,1,75,776,53
tiaprofenic acid,propacetamol,The risk or severity of adverse effects can be increased when Tiaprofenic acid is combined with Propacetamol.,1,109,160,226
iloprost,nabilone,The risk or severity of adverse effects can be increased when Iloprost is combined with Nabilone.,1,97,220,349
hydromorphone,entacapone,The risk or severity of adverse effects can be increased when Hydromorphone is combined with Entacapone.,1,104,423,233
ajmaline,ribavirin,no interaction known or reported,0,32,97,45
rizatriptan,pargyline,The metabolism of Pargyline can be decreased when combined with Rizatriptan.,1,76,136,180
procaine,oxybuprocaine,The risk or severity of adverse effects can be increased when Procaine is combined with Oxybuprocaine.,1,102,189,150
dihydrocodeine,torasemide,The risk or severity of adverse effects can be increased when Dihydrocodeine is combined with Torasemide.,1,105,364,324
clonidine,voriconazole,The metabolism of Voriconazole can be decreased when combined with Clonidine.,1,77,338,656
prazosin,quinine,no interaction known or reported,0,32,189,343
mometasone,tubocurarine,The risk or severity of adverse effects can be increased when Mometasone is combined with Tubocurarine.,1,103,120,142
morniflumate,diclofenac,The risk or severity of adverse effects can be increased when Morniflumate is combined with Diclofenac.,1,103,109,154
trifluoperazine,pramipexole,Trifluoperazine may increase the sedative activities of Pramipexole.,1,68,325,321
nomegestrol,celecoxib,no interaction known or reported,0,32,57,401
mipomersen,miconazole,no interaction known or reported,0,32,34,106
clofazimine,mexiletine,no interaction known or reported,0,32,81,198
olmesartan,methyldopa,The risk or severity of adverse effects can be increased when Olmesartan is combined with Methyldopa.,1,101,231,194
boceprevir,enalaprilat,The serum concentration of Enalaprilat can be decreased when it is combined with Boceprevir.,1,92,136,243
clomocycline,fidaxomicin,no interaction known or reported,0,32,32,41
fondaparinux,alclofenac,Fondaparinux may increase the anticoagulant activities of Alclofenac.,1,69,165,211
bethanechol,milnacipran,no interaction known or reported,0,32,36,338
ethanol,cyproheptadine,Ethanol may increase the central nervous system depressant (CNS depressant) activities of Cyproheptadine.,1,105,400,225
lorcaserin,doxycycline,The metabolism of Doxycycline can be decreased when combined with Lorcaserin.,1,77,210,584
nevirapine,artemether,The serum concentration of the active metabolites of Artemether can be reduced when Artemether is used in combination with Nevirapine resulting in a loss in efficacy.,1,166,579,257
gramicidin d,chlorothiazide,no interaction known or reported,0,32,34,376
tipranavir,ranolazine,The metabolism of Ranolazine can be decreased when combined with Tipranavir.,1,76,183,488
alprenolol,pindolol,Alprenolol may increase the hypotensive activities of Pindolol.,1,63,266,264
fenoldopam,quinapril,Fenoldopam may increase the hypotensive activities of Quinapril.,1,64,137,227
edetic acid,anagrelide,Edetic acid may increase the anticoagulant activities of Anagrelide.,1,68,158,65
amoxapine,nicorandil,Amoxapine may increase the hypotensive activities of Nicorandil.,1,64,255,131
edoxaban,sunitinib,The serum concentration of Sunitinib can be increased when it is combined with Edoxaban.,1,88,371,139
pentoxifylline,glucosamine,Pentoxifylline may increase the antiplatelet activities of Glucosamine.,1,71,189,59
salmeterol,remikiren,no interaction known or reported,0,32,124,113
lithium cation,tianeptine,Lithium cation may increase the neurotoxic activities of Tianeptine.,1,68,307,98
reserpine,methylphenidate,The risk or severity of adverse effects can be increased when Reserpine is combined with Methylphenidate.,1,105,425,245
azelnidipine,erythromycin,The metabolism of Erythromycin can be decreased when combined with Azelnidipine.,1,80,42,532
tolazoline,spirapril,Tolazoline may increase the hypotensive activities of Spirapril.,1,64,130,201
famotidine,aluminium,no interaction known or reported,0,32,71,89
pitavastatin,verapamil,The serum concentration of Verapamil can be increased when it is combined with Pitavastatin.,1,92,298,604
pentamidine,betaxolol,The metabolism of Betaxolol can be decreased when combined with Pentamidine.,1,76,317,336
progesterone,quinine,The metabolism of Quinine can be decreased when combined with Progesterone.,1,75,218,343
mebendazole,eplerenone,no interaction known or reported,0,32,99,192
doxycycline,ticarcillin,The therapeutic efficacy of Ticarcillin can be decreased when used in combination with Doxycycline.,1,99,75,33
nitrous acid,metolazone,The risk or severity of adverse effects can be increased when Nitrous acid is combined with Metolazone.,1,103,132,347
enzalutamide,cocaine,The serum concentration of Cocaine can be decreased when it is combined with Enzalutamide.,1,90,586,338
metacycline,procaine benzylpenicillin,The therapeutic efficacy of Procaine benzylpenicillin can be decreased when used in combination with Metacycline.,1,113,38,49
sertindole,ranolazine,The metabolism of Ranolazine can be decreased when combined with Sertindole.,1,76,246,488
thalidomide,mexiletine,The metabolism of Mexiletine can be decreased when combined with Thalidomide.,1,77,473,198
difluprednate,ethanol,no interaction known or reported,0,32,128,132
cyclopentolate,methadone,The risk or severity of adverse effects can be increased when Cyclopentolate is combined with Methadone.,1,104,95,310
levacetylmethadol,trichlormethiazide,The risk or severity of adverse effects can be increased when Levacetylmethadol is combined with Trichlormethiazide.,1,116,269,327
paraldehyde,remifentanil,Paraldehyde may increase the central nervous system depressant (CNS depressant) activities of Remifentanil.,1,107,296,196
fentanyl,benzyl alcohol,no interaction known or reported,0,32,387,183
balsalazide,droxicam,Balsalazide may increase the nephrotoxic activities of Droxicam.,1,64,219,208
olopatadine,unoprostone,The therapeutic efficacy of Unoprostone can be decreased when used in combination with Olopatadine.,1,99,317,226
tipranavir,chloramphenicol,The metabolism of Chloramphenicol can be decreased when combined with Tipranavir.,1,81,183,210
romidepsin,fosamprenavir,The metabolism of Fosamprenavir can be decreased when combined with Romidepsin.,1,79,123,527
carboplatin,isoniazid,no interaction known or reported,0,32,62,421
norgestrel,ketoconazole,The metabolism of Ketoconazole can be decreased when combined with Norgestrel.,1,78,82,706
dihydroergotamine,valproic acid,The risk or severity of adverse effects can be increased when Dihydroergotamine is combined with Valproic acid.,1,111,265,322
clidinium,dydrogesterone,no interaction known or reported,0,32,99,34
lovastatin,verapamil,The serum concentration of Verapamil can be increased when it is combined with Lovastatin.,1,90,170,604
nebivolol,levonorgestrel,no interaction known or reported,0,32,250,91
dosulepin,orciprenaline,The risk or severity of adverse effects can be increased when Dosulepin is combined with Orciprenaline.,1,103,119,101
tetryzoline,drospirenone,no interaction known or reported,0,32,54,135
ethyl loflazepate,pipobroman,no interaction known or reported,0,32,161,32
valproic acid,ropinirole,Valproic acid may increase the sedative activities of Ropinirole.,1,65,264,517
levodopa,sulfadimethoxine,no interaction known or reported,0,32,156,36
dyclonine,protriptyline,The risk or severity of adverse effects can be increased when Dyclonine is combined with Protriptyline.,1,103,196,314
fosamprenavir,raltegravir,The serum concentration of Raltegravir can be decreased when it is combined with Fosamprenavir.,1,95,106,45
formoterol,cocaine,The metabolism of Cocaine can be decreased when combined with Formoterol.,1,73,148,338
levobunolol,lactic acid,no interaction known or reported,0,32,157,35
formestane,epirubicin,no interaction known or reported,0,32,127,94
carvedilol,naproxen,Carvedilol may decrease the antihypertensive activities of Naproxen.,1,68,329,179
artemether,alfuzosin,Artemether may increase the QTc-prolonging activities of Alfuzosin.,1,67,275,120
calcium gluconate,delavirdine,no interaction known or reported,0,32,107,652
halothane,brexpiprazole,The risk or severity of adverse effects can be increased when Halothane is combined with Brexpiprazole.,1,103,402,312
pimozide,indacaterol,Pimozide may increase the QTc-prolonging activities of Indacaterol.,1,67,372,157
triazolam,bortezomib,The metabolism of Bortezomib can be decreased when combined with Triazolam.,1,75,334,595
mesalazine,aceclofenac,Mesalazine may increase the nephrotoxic activities of Aceclofenac.,1,66,213,203
thiothixene,pramipexole,Thiothixene may increase the sedative activities of Pramipexole.,1,64,218,321
methotrimeprazine,thiopental,Methotrimeprazine may increase the central nervous system depressant (CNS depressant) activities of Thiopental.,1,111,377,166
pirenzepine,enalaprilat,no interaction known or reported,0,32,85,243
dofetilide,ofloxacin,Dofetilide may increase the QTc-prolonging activities of Ofloxacin.,1,67,273,91
