drug_a,drug_b,severity,mechanism,effect,Safer_alternative,rationale,reference
Quetiapine,Ketoconazole,major,CYP3A4 inhibition â†’ increased quetiapine levels,Increased risk of quetiapine toxicity,Terbinafine or topical antifungal,Lower interaction potential.,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Ethinyl Estradiol,Carbamazepine,major,CYP induction â†’ decreased contraceptive levels,Contraceptive failure,Non-hormonal IUD or higher-dose OC,Requires a contraceptive method unaffected by enzymes.,Contraception Journal
Warfarin,Amiodarone,major,CYP2C9 inhibition â†’ increased warfarin levels,Increased bleeding risk,Reduce warfarin dose by 30-50%,Requires proactive warfarin dose reduction.,NEJM
Metformin,Iodinated Contrast Dye,major,Increased risk of contrast-induced lactic acidosis,Potential renal impairment and metabolic acidosis,Withhold metformin before/after procedure,Standard procedural management.,ACR Manual
Tacrolimus,Voriconazole,major,CYP3A4 inhibition â†’ increased tacrolimus levels,Increased risk of tacrolimus toxicity,Reduce tacrolimus dose by 2/3; monitor levels,Requires aggressive dose reduction and monitoring.,Ther Drug Monit
Venlafaxine,Tramadol,major,Increased serotonin levels,Increased risk of serotonin syndrome and seizures,Morphine,Lower serotonergic activity.,CNS Drugs
Colchicine,Clarithromycin,major,P-gp/CYP3A4 inhibition â†’ increased colchicine levels,Increased risk of colchicine toxicity,Azithromycin,Weaker inhibition of relevant pathways.,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976., FDA Alert"
Duloxetine,Tramadol,major,Increased serotonin levels,Increased risk of serotonin syndrome,Oxycodone,Lower serotonergic activity.,FDA Adverse Event Reporting
Warfarin,Fluoxetine,major,CYP2C9 inhibition â†’ increased warfarin levels,Increased bleeding risk,Sertraline or Citalopram,Less potent CYP2C9 inhibition.,BMJ
Lithium,Hydrochlorothiazide,major,Decreased renal lithium clearance â†’ increased lithium levels,Increased risk of lithium toxicity,Loop Diuretic (Furosemide),Less effect on lithium clearance.,Am J Psychiatry
Risperidone,Carbamazepine,major,CYP induction â†’ decreased risperidone levels,Reduced antipsychotic efficacy,Valproic Acid,Not a CYP inducer.,J Clin Psychopharmacol
Salmeterol,Propranolol,major,Antagonism of bronchodilator effect,"Bronchospasm, reduced asthma control",Cardioselective Beta Blocker (Atenolol),Less bronchoconstrictive effect.,Am J Respir Crit Care Med
Dextromethorphan,Phenelzine,major,Increased serotonin levels,Increased risk of serotonin syndrome,Guaifenesin (expectorant),No serotonergic activity.,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Paroxetine,Tamoxifen,major,CYP2D6 inhibition â†’ decreased conversion to active endoxifen,Reduced efficacy of tamoxifen therapy,Venlafaxine,Less potent CYP2D6 inhibition.,J Natl Cancer Inst
Atorvastatin,Itraconazole,major,CYP3A4 inhibition â†’ increased statin levels,Increased risk of myopathy,Rosuvastatin,Not primarily metabolized by CYP3A4.,Clin Pharmacol Ther
Levodopa,Metoclopramide,major,Dopamine receptor antagonism â†’ decreased levodopa efficacy,Worsening Parkinson's symptoms,Domperidone (if available),Does not cross blood-brain barrier.,Mov Disord
Sodium Valproate,Meropenem,major,Decreased valproate levels,Loss of seizure control,"Alternative antibiotic (e.g., Ceftazidime)",No significant interaction.,Epilepsy Behav
Linezolid,Sertraline,major,MAO inhibition + SSRI â†’ increased serotonin levels,Increased risk of serotonin syndrome,Vancomycin (if for MRSA),No MAO inhibition.,FDA Alert
Pimozide,Clarithromycin,major,CYP3A4 inhibition â†’ increased pimozide levels,"QT prolongation, arrhythmia risk",Azithromycin,Weaker CYP3A4 inhibition.,FDA Black Box Warning
Tizanidine,Ciprofloxacin,major,CYP1A2 inhibition â†’ increased tizanidine levels,Increased risk of tizanidine toxicity,Levofloxacin or Baclofen,Lower interaction potential.,Clin Pharmacol Ther
Thioridazine,Paroxetine,major,CYP2D6 inhibition â†’ increased thioridazine levels,"QT prolongation, arrhythmia risk",Sertraline,Less potent CYP2D6 inhibition.,FDA Warning
Donepezil,Glycopyrrolate,major,Pharmacodynamic antagonism,Decreased donepezil efficacy,Alternative for secretions,Directly opposing mechanisms.,J Am Geriatr Soc
Isotretinoin,Tetracycline,major,Increased risk of benign intracranial hypertension,"Headache, visual changes, papilledema",Azithromycin,Lower risk of this interaction.,J Am Acad Dermatol
Rivaroxaban,Carbamazepine,major,CYP3A4/P-gp induction â†’ decreased rivaroxaban levels,Reduced anticoagulant efficacy,Valproic Acid or Lamotrigine,Not a strong inducer.,J Thromb Haemost
Alfuzosin,Ketoconazole,major,CYP3A4 inhibition â†’ increased alfuzosin levels,"Hypotension, dizziness",Terbinafine or Tamsulosin,Lower interaction potential.,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Phenelzine,Meperidine,major,Increased serotonin levels,Serotonin syndrome & excitatory reaction,Morphine,Lower serotonergic activity.,Psychosomatics
Sildenafil,Ritonavir,major,CYP3A4 inhibition â†’ increased sildenafil levels,Increased risk of sildenafil toxicity,Use lowest possible sildenafil dose (25mg),Requires significant dose reduction.,FDA Label
Digoxin,Quinidine,major,P-gp inhibition â†’ increased digoxin levels,Increased risk of digoxin toxicity,"Other antiarrhythmics (e.g., Procainamide)",Different mechanism.,Goodman & Gilman
Isosorbide Mononitrate,Riociguat,major,Additive hypotension,"Severe hypotension, cardiovascular collapse",Alternative antianginal,Contraindicated combination.,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Warfarin,Apixaban,major,Additive anticoagulant effect,Increased bleeding risk,Use one anticoagulant only,Avoid concurrent use.,CHEST Guidelines
Verapamil,Atenolol,major,Additive bradycardia and hypotension,"Severe bradycardia, syncope",Monitor HR/BP; reduce dose,Requires close monitoring.,Am J Cardiol
Warfarin,Dabigatran,major,Additive anticoagulant effect,Increased bleeding risk,Use one anticoagulant only,Avoid concurrent use.,CHEST Guidelines
Lithium,"ACE Inhibitors (e.g., Lisinopril)",major,Decreased renal lithium clearance â†’ increased lithium levels,Increased risk of lithium toxicity,"ARB (e.g., Losartan) or CCB",Less effect on lithium clearance.,Am J Psychiatry
Clozapine,Ciprofloxacin,major,CYP1A2 inhibition â†’ increased clozapine levels,Increased risk of clozapine toxicity,Levofloxacin,Lower interaction potential.,J Clin Psychiatry
Triamterene,Indomethacin,major,Increased risk of nephrotoxicity & hyperkalemia,"Acute kidney injury, dangerous hyperkalemia",Acetaminophen,Does not affect renal blood flow.,BMJ
Fluoxetine,Risperidone,major,CYP2D6 inhibition â†’ increased risperidone levels,Increased risk of risperidone toxicity,Sertraline or Citalopram,Less potent CYP2D6 inhibition.,J Clin Psychopharmacol
Methadone,Phenytoin,major,CYP induction â†’ decreased methadone levels,Opioid withdrawal symptoms,Valproic Acid or Levetiracetam,Not a CYP inducer.,JAMA
Tacrolimus,St. John's Wort,major,CYP3A4 induction â†’ decreased tacrolimus levels,Risk of organ rejection,Avoid herbal product,Patient education is critical.,Transplantation
Cisapride,Erythromycin,major,CYP3A4 inhibition â†’ increased cisapride levels,"QT prolongation, arrhythmia risk",Metoclopramide or Domperidone,Different metabolic pathway.,FDA Warning
Bupropion,Tamoxifen,major,CYP2D6 inhibition â†’ decreased conversion to active endoxifen,Reduced efficacy of tamoxifen therapy,Venlafaxine,Less potent CYP2D6 inhibition.,J Clin Oncol
Amiodarone,Simvastatin,major,CYP3A4 inhibition â†’ increased statin levels,Increased risk of myopathy,Pravastatin or Rosuvastatin,Not metabolized by CYP3A4.,Circulation
Warfarin,Imatinib,major,CYP2C9 inhibition â†’ increased warfarin levels,Increased bleeding risk,"LMWH (e.g., enoxaparin)","Predictable anticoagulation, no interaction.",J Clin Oncol
Duloxetine,Linezolid,major,MAO inhibition + SSRI â†’ increased serotonin levels,Increased risk of serotonin syndrome,Tedizolid or Vancomycin,Lower MAO inhibition potential.,FDA Alert
Rifampin,Verapamil,major,CYP induction â†’ decreased verapamil levels,Reduced antihypertensive efficacy,Amlodipine,Not metabolized by inducible enzymes.,Clin Pharmacol Ther
Warfarin,Nafcillin,major,CYP induction â†’ decreased warfarin levels,Reduced anticoagulant efficacy,Cefazolin,Lower interaction potential.,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Trimipramine,Phenelzine,major,Increased serotonin levels,Serotonin syndrome & hypertensive crisis,Mirtazapine,"Different mechanism, safer profile.",Psychopharmacology
Atorvastatin,Azithromycin,moderate,Weak CYP3A4 inhibition may slightly increase atorvastatin levels,Monitor for muscle pain,Pravastatin or Rosuvastatin,Not metabolized by CYP3A4 pathway,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Sertraline,Aspirin,moderate,Increased antiplatelet effect,May slightly increase risk of bleeding,Acetaminophen,No antiplatelet effect,Micromedex
Levothyroxine,Iron Sulfate,moderate,Binding in GI tract,Decreased absorption of levothyroxine,Space doses by 4+ hours,Prevents binding interaction,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976., AACE Guidelines"
Metformin,Cephalexin,moderate,May increase metformin levels,Increased risk of lactic acidosis; monitor,Other antibiotics if possible,Lower interaction potential with other classes,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Omeprazole,Clopidogrel,moderate,CYP2C19 inhibition may decrease clopidogrel efficacy,Potential reduced antiplatelet effect,Pantoprazole or Famotidine,Less potent CYP2C19 inhibition,Clinical Pharmacokinetics
Warfarin,Acetaminophen,moderate,Regular high doses may increase INR,Potential increased bleeding risk with high doses,Use lowest effective dose,Generally safe at low-to-moderate doses,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Citalopram,Tramadol,moderate,Potential increased serotonin levels,Risk of serotonin syndrome; monitor,Morphine or other opioids,Lower serotonergic activity,FDA Adverse Event Reporting
Amlodipine,Simvastatin,moderate,May slightly increase simvastatin levels,Monitor for muscle pain,Pravastatin or Rosuvastatin,Not metabolized by CYP3A4,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Digoxin,Omeprazole,moderate,May slightly increase digoxin levels,Monitor for toxicity,Pantoprazole,Less interaction potential,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Venlafaxine,Ibuprofen,moderate,May increase risk of bleeding,Monitor for bleeding signs,Acetaminophen,No antiplatelet effect,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Lisinopril,Spironolactone,moderate,Additive hyperkalemia risk,Monitor potassium levels,Loop diuretic instead of spironolactone,Promotes potassium excretion,Micromedex
Metoprolol,Diltiazem,moderate,Additive effect on heart rate,Risk of bradycardia,Monitor HR/BP; reduce dose,Requires close hemodynamic monitoring,Am J Cardiol
Quetiapine,Lurasidone,moderate,Additive CNS effects,"Increased risk of drowsiness, dizziness",Monitor or adjust doses,Careful titration needed,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Duloxetine,Meloxicam,moderate,May increase risk of bleeding,Monitor for bleeding signs,Acetaminophen,No antiplatelet effect,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Alprazolam,Cimetidine,moderate,CYP3A4 inhibition may increase alprazolam levels,Increased sedation,Famotidine or ranitidine,Less potent CYP inhibition,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Escitalopram,Warfarin,moderate,May increase INR,Monitor coagulation parameters,Sertraline or citalopram,Lower interaction potential,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Furosemide,Lisinopril,moderate,Potential for first-dose hypotension,Monitor blood pressure,Start with lower doses,Gradual titration reduces risk,NEJM
Gabapentin,Hydrocodone,moderate,Additive CNS depression,"Increased dizziness, drowsiness",Monitor or adjust doses,Careful titration needed,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Hydrochlorothiazide,Ibuprofen,moderate,NSAIDs may decrease diuretic efficacy,Monitor for edema,Acetaminophen,Does not inhibit prostaglandins,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Insulin,Pramlintide,moderate,Additive effect on glucose control,Increased risk of hypoglycemia,Adjust doses carefully,Requires careful monitoring,Diabetes Care
Lamotrigine,Valproic Acid,moderate,Valproic acid inhibits lamotrigine metabolism,Increased lamotrigine levels,Slow lamotrigine titration,Requires dose adjustment,Epilepsia Journal
Losartan,Ibuprofen,moderate,NSAIDs may decrease antihypertensive efficacy,Monitor blood pressure,Acetaminophen,No effect on blood pressure,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Memantine,Carbonic Anhydrase Inhibitors,moderate,May increase risk of renal stone formation,Monitor renal function,Alternative treatments if available,Lower risk with other options,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Nitrofurantoin,Magnesium Trisilicate,moderate,Antacids may decrease nitrofurantoin absorption,Reduced antibiotic efficacy,Space doses by 2+ hours,Prevents binding interaction,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Olanzapine,Diazepam,moderate,Additive CNS depression,Increased sedation,Use lower doses; monitor closely,Requires cautious dosing,Psychopharmacology
Pantoprazole,Warfarin,moderate,May slightly increase INR,Monitor coagulation parameters,H2 blockers if appropriate,Lower interaction potential,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Quetiapine,Fluoxetine,moderate,May increase quetiapine levels,Monitor for drowsiness,Sertraline or citalopram,Lower interaction potential,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Ranitidine,Warfarin,moderate,May slightly increase INR,Monitor coagulation parameters,Famotidine,Lower interaction potential,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Sertraline,Tolbutamide,moderate,May increase tolbutamide levels,Monitor for hypoglycemia,Other antidepressants if needed,Lower interaction potential,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Trazodone,Phenytoin,moderate,May alter levels of both drugs,Monitor drug levels if possible,Alternative antidepressant,More predictable pharmacokinetics,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Valsartan,Aliskiren,moderate,Additive hyperkalemia risk,Monitor potassium levels,Alternative antihypertensive combination,Lower hyperkalemia risk,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Zolpidem,Ciprofloxacin,moderate,May increase zolpidem levels,Increased risk of drowsiness,Levofloxacin,Lower interaction potential,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Amitriptyline,Phenelzine,moderate,Increased risk of serotonin syndrome,Monitor for serotonin syndrome symptoms,Mirtazapine,"Different mechanism, safer profile",Psychopharmacology
Bupropion,Levodopa,moderate,May increase risk of hypertension and side effects,Monitor blood pressure and Parkinson's symptoms,Other antidepressants if needed,Lower interaction potential,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Ciprofloxacin,Theophylline,moderate,CYP1A2 inhibition may increase theophylline levels,Monitor theophylline levels,Levofloxacin,Lower interaction potential,Chest Journal
Diclofenac,Lithium,moderate,May increase lithium levels,Monitor lithium levels,Acetaminophen,Does not affect lithium levels,Acta Psychiatr Scand
Escitalopram,Linezolid,moderate,Potential increased risk of serotonin syndrome,Monitor for serotonin syndrome symptoms,Vancomycin if appropriate,No MAO inhibition,FDA Alert
Fluconazole,Alfentanil,moderate,May increase alfentanil levels,Increased risk of respiratory depression,Other antifungals if appropriate,Lower interaction potential,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Glipizide,Fluconazole,moderate,May increase glipizide levels,Monitor for hypoglycemia,Other antifungals if appropriate,Lower interaction potential,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Hydralazine,Diazoxide,moderate,Additive hypotensive effect,Monitor blood pressure,Use one agent at a time,Excessive hypotension risk,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Isoniazid,Carbamazepine,moderate,May increase carbamazepine levels,Monitor carbamazepine levels,Other antibiotics if appropriate,Lower interaction potential,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Levothyroxine,Sucralfate,moderate,Binding in GI tract,Decreased absorption of levothyroxine,Space doses by 4+ hours,Prevents binding interaction,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Metronidazole,Warfarin,moderate,May increase INR,Monitor coagulation parameters,Other antibiotics if appropriate,Lower interaction potential,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Nifedipine,Quinidine,moderate,May increase quinidine levels,Monitor quinidine levels,Other calcium channel blockers,Lower interaction potential,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Oxcarbazepine,Felodipine,moderate,May decrease felodipine levels,Monitor blood pressure,Other antiepileptics if appropriate,Lower interaction potential,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Paroxetine,Procyclidine,moderate,May increase procyclidine levels,Increased anticholinergic side effects,Other SSRIs if appropriate,Lower interaction potential,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Quinine,Digoxin,moderate,May increase digoxin levels,Monitor for digoxin toxicity,Other antimalarials if appropriate,Lower interaction potential,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Rifampin,Verapamil,moderate,CYP induction may decrease verapamil levels,Reduced efficacy,Amlodipine,Not metabolized by inducible enzymes,Clin Pharmacol Ther
Salmeterol,Timolol,moderate,Antagonism of bronchodilator effect,Reduced asthma control,Cardioselective beta blocker,Less bronchoconstrictive effect,Am J Respir Crit Care Med
Telithromycin,Midazolam,moderate,CYP3A4 inhibition may increase midazolam levels,Increased sedation,Azithromycin,Weaker CYP3A4 inhibition,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Valproic Acid,Meropenem,moderate,May decrease valproic acid levels,Reduced efficacy,Alternative antibiotic,No significant interaction,Epilepsy Behav
Warfarin,Dronedarone,moderate,May increase INR,Monitor coagulation parameters,Amiodarone (with dose adjustment),Different warfarin dose management,Eur Heart Journal
